FID,OBJECTID,Join_Count,TARGET_FID,Shape_Leng,ADM2_EN,ADM2_PCODE,ADM2_REF,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,SD_EN,SD_PCODE,area,area_1,area_2,area_3,longitude,latitude,nga_genera,Shape_Le_1,Shape_Area,ADM1_PCO_1,ADM1_EN_1,District__,Flooded_Ar,Flooded_Cr,Total_in_D,Children__,Elderly___,lon,lat
41,57,0,673,1.508631,Shani,NG008027,Shani,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno South,NG00803,0,0,1264.341176,1264.341176,0,0,0,1.508631,0.101077,NG008,Borno,Shani,9439,3300,27361,1212,9736,11.974896,10.181523
42,58,0,675,1.588681,Shelleng,NG002017,Shelleng,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa South,NG00203,0,0,1241.97869,1241.97869,0,0,0,1.588681,0.099388,NG002,Adamawa,Shelleng,6067,989,35684,1681,11757,12.099773,9.865443
43,59,0,686,2.757057,Song,NG002018,Song,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa Central,NG00201,0,0,4158.955101,4158.955101,0,0,0,2.757057,0.332858,NG002,Adamawa,Song,771,148,842,41,280,12.619751,9.823108
44,60,0,704,2.903186,Tarmua,NG036015,Tarmua,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe East,NG03601,0,0,4736.994317,4736.994317,0,0,0,2.903186,0.375974,NG036,Yobe,Tarmua,7818,2436,2683,129,906,11.811638,12.24119
45,64,0,765,3.111997,Yunusari,NG036016,Yunusari,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe East,NG03601,0,0,4020.494573,4020.494573,0,0,0,3.111997,0.318022,NG036,Yobe,Yunusari,15586,3396,8505,407,2885,11.777828,13.097171
46,2,0,68,2.713605,Askira/Uba,NG008002,Askira/Uba,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno South,NG00803,0,0,2587.301217,2587.301217,0,0,0,2.713605,0.206528, , , ,0,0,0,0,0,12.943247,10.64765
47,9,0,142,2.050496,Damaturu,NG036003,Damaturu,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe South,NG03603,0,0,2445.9094,2445.9094,0,0,0,2.050496,0.19443, , , ,0,0,0,0,0,12.014315,11.833227
48,27,0,273,2.233111,Hong,NG002007,Hong,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa Central,NG00201,0,0,2747.767391,2747.767391,0,0,0,2.233111,0.219587, , , ,0,0,0,0,0,12.933159,10.299015
49,32,0,405,1.871731,Kala/Balge,NG008015,Kala/Balge,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno Central,NG00801,0,0,1962.783162,1962.783162,0,0,0,1.871731,0.155904, , , ,0,0,0,0,0,14.480684,12.040518
50,41,0,476,3.011609,Magumeri,NG008020,Magumeri,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno North,NG00802,0,0,4947.424478,4947.424478,0,0,0,3.011609,0.392771, , , ,0,0,0,0,0,12.633253,12.176993
51,46,0,499,1.113935,Michika,NG002013,Michika,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa North,NG00202,0,0,838.720888,838.720888,0,0,0,1.113935,0.066966, , , ,0,0,0,0,0,13.404549,10.574773
52,49,0,511,1.046657,Mubi North,NG002014,Mubi North,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa North,NG00202,0,0,778.464636,778.464636,0,0,0,1.046657,0.062198, , , ,0,0,0,0,0,13.35945,10.362725
53,50,0,512,0.974724,Mubi South,NG002015,Mubi South,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa North,NG00202,0,0,518.829044,518.829044,0,0,0,0.974724,0.041478, , , ,0,0,0,0,0,13.304351,10.181731
54,56,0,645,0.905953,Potiskum,NG036014,Potiskum,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe South,NG03603,0,0,600.557666,600.557666,0,0,0,0.905953,0.047762, , , ,0,0,0,0,0,11.165865,11.706941
55,8,0,139,1.576157,Chibok,NG008006,Chibok,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno South,NG00803,0,0,1574.880059,1574.880059,0,0,0,1.576157,0.12563, , , ,0,0,0,0,0,12.798928,10.842492
56,16,0,231,2.122051,Ganye,NG002003,Ganye,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa South,NG00203,0,0,2140.495557,2140.495557,0,0,0,2.122051,0.171992, , , ,0,0,0,0,0,12.00813,8.429339
57,19,0,247,1.842475,Gombi,NG002004,Gombi,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa Central,NG00201,0,0,2232.99181,2232.99181,0,0,0,1.842475,0.178513, , , ,0,0,0,0,0,12.493325,10.18574
58,20,0,249,2.221293,Gubio,NG008009,Gubio,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno North,NG00802,0,0,2754.568198,2754.568198,0,0,0,2.221293,0.218268, , , ,0,0,0,0,0,12.761694,12.664728
59,24,0,260,2.400938,Guzamala,NG008010,Guzamala,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno North,NG00802,0,0,2645.917832,2645.917832,0,0,0,2.400938,0.209488, , , ,0,0,0,0,0,13.228727,12.867912
60,36,0,457,1.119672,Kwaya Kusar,NG008018,Kwaya Kusar,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno South,NG00803,0,0,772.557932,772.557932,0,0,0,1.119672,0.061709, , , ,0,0,0,0,0,11.885056,10.446826
61,38,0,471,1.779161,Machina,NG036011,Machina,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe North,NG03602,0,0,1348.145082,1348.145082,0,0,0,1.779161,0.106662, , , ,0,0,0,0,0,10.020181,13.043806
62,43,0,480,1.754502,Maiha,NG002011,Maiha,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa North,NG00202,0,0,1397.187449,1397.187449,0,0,0,1.754502,0.111811, , , ,0,0,0,0,0,13.164111,9.856981
63,61,0,709,3.360822,Toungo,NG002019,Toungo,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa South,NG00203,0,0,5686.30679,5686.30679,0,0,0,3.360822,0.457437, , , ,0,0,0,0,0,11.823801,7.968952
64,65,0,766,3.341554,Yusufari,NG036017,Yusufari,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe North,NG03602,0,0,4075.069093,4075.069093,0,0,0,3.341554,0.32223, , , ,0,0,0,0,0,10.892894,13.179386
